id,url,title,content_length,links_count,images_count,scraped_at,domain
1,https://en.wikipedia.org/wiki/List_of_largest_technology_companies_by_revenue,List of largest technology companies by revenue - Wikipedia,20950,1321,118,2025-10-14T21:59:29.336086,en.wikipedia.org
2,https://en.wikipedia.org/wiki/List_of_public_corporations_by_market_capitalization,List of public corporations by market capitalization - Wikipedia,49006,2723,1684,2025-10-14T21:59:31.340486,en.wikipedia.org
3,https://en.wikipedia.org/wiki/List_of_largest_software_companies,List of the largest software companies - Wikipedia,9223,381,10,2025-10-14T21:59:33.154955,en.wikipedia.org
4,https://en.wikipedia.org/wiki/List_of_largest_Internet_companies,List of largest Internet companies - Wikipedia,26832,974,118,2025-10-14T21:59:34.313187,en.wikipedia.org
